DISPLAY_FIRST_LAST,PERSON_ID,TEAM_NAME
Precious Achiuwa,1630173,Heat
Jaylen Adams,1629121,
Steven Adams,203500,Pelicans
Bam Adebayo,1628389,Heat
Ochai Agbaji,1630534,
Santi Aldama,1630583,
LaMarcus Aldridge,200746,
Ty-Shon Alexander,1630234,Suns
Nickeil Alexander-Walker,1629638,Pelicans
Grayson Allen,1628960,Grizzlies
Jarrett Allen,1628386,Cavaliers
Jose Alvarado,1630631,
Al-Farouq Aminu,202329,Bulls
Justin Anderson,1626147,
Kyle Anderson,203937,Grizzlies
Giannis Antetokounmpo,203507,Bucks
Kostas Antetokounmpo,1628961,Lakers
Thanasis Antetokounmpo,203648,Bucks
Carmelo Anthony,2546,Trail Blazers
Cole Anthony,1630175,Magic
OG Anunoby,1628384,Raptors
Ryan Arcidiacono,1627853,Bulls
Trevor Ariza,2772,Heat
Adonis Arms,1631317,
D.J. Augustin,201571,Rockets
Deni Avdija,1630166,Wizards
Joel Ayayi,1630555,
Deandre Ayton,1629028,Suns
Udoka Azubuike,1628962,Jazz
Dwayne Bacon,1628407,Magic
Marvin Bagley III,1628963,Kings
Patrick Baldwin Jr.,1631116,
LaMelo Ball,1630163,Hornets
LiAngelo Ball,1629071,
Lonzo Ball,1628366,Pelicans
Mo Bamba,1628964,Magic
Paolo Banchero,1631094,
Desmond Bane,1630217,Grizzlies
Dalano Banton,1630625,
Cat Barber,1627760,
Dominick Barlow,1631230,
Harrison Barnes,203084,Kings
Scottie Barnes,1630567,
RJ Barrett,1629628,Knicks
Will Barton,203115,Nuggets
Paris Bass,1628238,
Charles Bassey,1629646,
Keita Bates-Diop,1628966,Spurs
Nicolas Batum,201587,Clippers
Aron Baynes,203382,Raptors
Kent Bazemore,203145,Warriors
Darius Bazley,1629647,Thunder
Bradley Beal,203078,Wizards
Justin Bean,1631368,
Malik Beasley,1627736,Timberwolves
MarJon Beauchamp,1630699,
Jordan Bell,1628395,Warriors
DeAndre' Bembry,1627761,Raptors
Jules Bernard,1631262,
Davis Bertans,202722,Wizards
Patrick Beverley,201976,Clippers
Saddiq Bey,1630180,Pistons
Tyler Bey,1630189,Mavericks
Marcus Bingham Jr.,1631234,
Khem Birch,203920,Raptors
Goga Bitadze,1629048,Pacers
Bismack Biyombo,202687,Hornets
Nemanja Bjelica,202357,Heat
Eric Bledsoe,202339,Pelicans
Keljin Blevins,1629833,Trail Blazers
Buddy Boeheim,1631205,
Bogdan Bogdanovic,203992,Hawks
Bojan Bogdanovic,202711,Jazz
Bol Bol,1629626,Nuggets
Marques Bolden,1629716,
Leandro Bolmaro,1630195,
Jordan Bone,1629648,
Isaac Bonga,1629067,Wizards
Devin Booker,1626164,Suns
Brandon Boston,1630527,
Chris Boucher,1628449,Raptors
James Bouknight,1630547,
Jamaree Bouyea,1631123,
Brian Bowen II,1628968,
Avery Bradley,202340,Rockets
Tony Bradley,1628396,Thunder
Malaki Branham,1631103,
Jarrell Brantley,1629714,Jazz
Christian Braun,1631128,
