athlete_id,athlete_headshot_href
517,NA
717,NA
393,NA
138,NA
9,https://a.espncdn.com/i/headshots/nba/players/full/9.png
847,NA
291,NA
667,NA
682,https://a.espncdn.com/i/headshots/nba/players/full/682.png
11,NA
692,https://a.espncdn.com/i/headshots/nba/players/full/692.png
21,NA
714,NA
885,https://a.espncdn.com/i/headshots/nba/players/full/885.png
176,NA
802,https://a.espncdn.com/i/headshots/nba/players/full/802.png
26,https://a.espncdn.com/i/headshots/nba/players/full/26.png
936,NA
1036,NA
1028,NA
690,NA
40,NA
406,NA
41,NA
91,https://a.espncdn.com/i/headshots/nba/players/full/91.png
497,https://a.espncdn.com/i/headshots/nba/players/full/497.png
621,NA
535,NA
660,NA
386,NA
550,https://a.espncdn.com/i/headshots/nba/players/full/550.png
703,https://a.espncdn.com/i/headshots/nba/players/full/703.png
87,https://a.espncdn.com/i/headshots/nba/players/full/87.png
385,https://a.espncdn.com/i/headshots/nba/players/full/385.png
248,NA
254,NA
974,https://a.espncdn.com/i/headshots/nba/players/full/974.png
1018,https://a.espncdn.com/i/headshots/nba/players/full/1018.png
1013,https://a.espncdn.com/i/headshots/nba/players/full/1013.png
181,https://a.espncdn.com/i/headshots/nba/players/full/181.png
262,NA
1043,NA
259,NA
813,https://a.espncdn.com/i/headshots/nba/players/full/813.png
205,NA
61,https://a.espncdn.com/i/headshots/nba/players/full/61.png
147,NA
96,NA
1026,https://a.espncdn.com/i/headshots/nba/players/full/1026.png
664,NA
151,NA
680,NA
882,NA
110,https://a.espncdn.com/i/headshots/nba/players/full/110.png
252,NA
614,https://a.espncdn.com/i/headshots/nba/players/full/614.png
246,https://a.espncdn.com/i/headshots/nba/players/full/246.png
347,NA
496,NA
543,NA
267,NA
359,NA
704,NA
770,NA
515,https://a.espncdn.com/i/headshots/nba/players/full/515.png
869,NA
1021,https://a.espncdn.com/i/headshots/nba/players/full/1021.png
513,NA
1006,https://a.espncdn.com/i/headshots/nba/players/full/1006.png
923,NA
987,https://a.espncdn.com/i/headshots/nba/players/full/987.png
396,https://a.espncdn.com/i/headshots/nba/players/full/396.png
429,https://a.espncdn.com/i/headshots/nba/players/full/429.png
437,NA
975,NA
307,NA
846,https://a.espncdn.com/i/headshots/nba/players/full/846.png
896,NA
17,NA
220,NA
370,NA
888,NA
349,NA
800,NA
10,https://a.espncdn.com/i/headshots/nba/players/full/10.png
269,NA
580,NA
818,NA
402,NA
511,https://a.espncdn.com/i/headshots/nba/players/full/511.png
805,NA
